counties,none_care,first_trimester,second_trimester,third_trimester,unknown_care,year,male,female,unknown_gender,singleton,twins,other_multiples,unknown_plural,white_non_hispanic,african_american_non_hispanic,other_non_hispanic,hispanic,gms_0_499,gms_500_1499,gms_1500_2499,gms_2500_8165,unknown_weight,pop
BRUNSWICK,17,688,220,51,31,2017,537,470,0,975,32,0,0,752,126,24,105,2,9,80,916,0,130859
BUNCOMBE,39,2033,227,57,36,2017,1244,1148,0,2338,45,9,0,1857,181,59,295,3,26,181,2182,0,257071
BURKE,19,631,219,53,5,2017,501,426,0,895,32,0,0,686,36,75,130,0,20,64,843,0,90157
CABARRUS,35,1756,645,135,22,2017,1376,1217,0,2480,113,0,0,1462,500,204,427,5,29,183,2376,0,206988
CALDWELL,8,569,143,59,4,2017,377,406,0,757,26,0,0,653,49,15,66,2,8,72,700,1,81933
CAMDEN,0,72,15,2,0,2017,46,43,0,87,2,0,0,78,8,1,2,0,0,7,82,0,10532
CARTERET,4,460,74,27,2,2017,287,280,0,545,22,0,0,478,35,11,43,0,8,33,526,0,68921
CASWELL,3,147,38,12,4,2017,112,92,0,198,6,0,0,120,55,5,24,0,6,15,183,0,22616
CATAWBA,32,1241,290,87,2,2017,862,790,0,1604,48,0,0,1066,193,149,244,3,28,116,1505,0,157852
CHATHAM,5,469,152,24,13,2017,337,326,0,645,18,0,0,419,71,27,146,1,10,48,603,1,71189
CHEROKEE,4,173,36,5,3,2017,109,112,0,215,6,0,0,194,5,12,10,1,4,10,206,0,27954
CHOWAN,1,103,24,6,0,2017,68,66,0,126,8,0,0,64,59,2,9,0,0,13,121,0,14029
CLAY,0,74,13,2,0,2017,55,34,0,89,0,0,0,78,0,4,7,1,1,6,81,0,11004
CLEVELAND,26,675,291,57,16,2017,547,518,0,1033,32,0,0,727,270,14,54,1,19,102,943,0,97134
COLUMBUS,15,278,153,39,93,2017,282,296,0,560,18,0,0,310,190,22,56,4,13,51,510,0,56047
CRAVEN,19,1009,251,103,4,2017,718,668,0,1340,46,0,0,891,293,70,132,3,23,92,1268,0,102492
CUMBERLAND,89,3948,1190,253,26,2017,2840,2666,0,5296,201,9,0,2319,2092,305,790,26,91,432,4957,0,330994
CURRITUCK,4,186,44,4,19,2017,127,130,0,248,6,3,0,227,14,7,9,0,8,15,234,0,26290
DARE,2,250,78,6,8,2017,169,175,0,335,9,0,0,275,7,4,58,0,6,21,317,0,36199
DAVIDSON,12,1326,334,85,5,2017,902,860,0,1688,74,0,0,1287,195,55,225,2,23,159,1578,0,165180
DAVIE,2,282,67,16,2,2017,168,201,0,359,10,0,0,287,23,5,54,0,3,29,337,0,42308
